time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1959-07-29T16:30:21.190Z,33.9826667,-117.7993333,6.79,2.17,ml,5,156,0.3224,0.5,ci,ci3297127,2016-01-28T18:29:27.940Z,"4km WSW of Chino Hills, CA",earthquake,2.47,3.72,0.035,4,reviewed,ci,ci
1959-07-29T16:09:33.530Z,34.0086667,-117.8145,5.37,2.02,ml,6,153,0.2948,0.34,ci,ci3297126,2016-01-28T18:01:38.460Z,"2km S of Diamond Bar, CA",earthquake,1.5,2.96,0.015,4,reviewed,ci,ci
1959-07-29T16:01:44.820Z,34.0888333,-117.6235,6,2.77,ml,7,145,0.2269,0.68,ci,ci3297124,2016-01-28T17:57:13.590Z,"2km ESE of Upland, CA",earthquake,3.67,31.61,0.11,5,reviewed,ci,ci
1959-07-23T03:21:03.300Z,33.9881667,-117.2275,14.19,3.7,ml,14,163,,0.5,ci,ci3297123,2016-01-28T18:15:41.520Z,"7km N of Moreno Valley, CA",earthquake,1.63,1.23,0.189,10,reviewed,ci,ci
1959-07-20T18:34:56.290Z,34.3398333,-117.8355,2.19,2.01,mh,6,153,0.1706,0.27,ci,ci3297121,2016-01-28T17:57:13.090Z,"18km SSW of Llano, CA",earthquake,0.71,1.3,0.145,10,reviewed,ci,ci
1959-07-20T13:25:22.790Z,34.1473333,-117.0021667,3.33,2.7,ml,8,207,0.3458,0.49,ci,ci3297120,2016-01-28T17:57:12.600Z,"12km SE of Running Springs, CA",earthquake,1.78,3.86,0.03,3,reviewed,ci,ci
1959-07-20T11:41:50.650Z,33.2341667,-116.7631667,7.42,3.96,ml,11,201,,0.5,ci,ci3297118,2016-01-28T18:11:00.390Z,"1km S of Lake Henshaw, CA",earthquake,3.18,1.69,0.207,8,reviewed,ci,ci
1959-07-18T13:18:08.770Z,34.0046667,-118.3218333,2,2.07,mh,6,256,0.1903,0.64,ci,ci3297117,2016-01-28T18:15:41.000Z,"3km ENE of View Park-Windsor Hills, CA",earthquake,3.73,31.61,0.29,9,reviewed,ci,ci
1959-07-10T19:39:45.310Z,34.3288333,-117.866,0,2.01,mh,6,149,0.1649,0.46,ci,ci3297114,2016-01-28T18:10:59.880Z,"20km SSW of Llano, CA",earthquake,1.54,3.08,0.181,10,reviewed,ci,ci
1959-07-10T14:44:59.160Z,33.9653333,-118.37,4.56,2.5,ml,11,103,,0.56,ci,ci3297113,2016-01-28T18:24:47.390Z,"2km WNW of Inglewood, CA",earthquake,1.36,3,0.189,4,reviewed,ci,ci
1959-07-03T21:47:50.350Z,34.9333333,-117.1401667,6,3.04,ml,7,193,0.9565,0.68,ci,ci3297110,2016-01-28T18:20:13.570Z,"11km WNW of Barstow, CA",earthquake,2.17,31.61,0.095,10,reviewed,ci,ci
1959-06-27T16:22:10.800Z,33.9848333,-116.8441667,6,3.8,ml,12,123,0.4415,0.65,ci,ci3297100,2016-01-28T18:01:37.960Z,"7km NNE of Banning, CA",earthquake,1.43,31.61,0.083,10,reviewed,ci,ci
1959-06-26T19:47:29.530Z,34.2756667,-117.8465,4.84,1.97,ml,7,118,0.183,0.4,ci,ci3297097,2016-01-28T18:20:12.080Z,"16km N of Glendora, CA",earthquake,1.51,3.87,0.018,4,reviewed,ci,ci
1959-06-21T16:40:24.050Z,33.2083333,-119.1248333,0.01,2.86,ml,9,36,0.831,0.85,ci,ci3297093,2016-01-28T18:01:37.390Z,"30km SSW of Santa Barbara Is., CA",earthquake,5.03,31.61,0.05,6,reviewed,ci,ci
1959-06-21T09:24:01.610Z,34.3531667,-119.5843333,0.06,3.25,ml,8,190,0.1389,0.6,ci,ci3297091,2016-01-28T18:24:46.370Z,"8km SW of Carpinteria, CA",earthquake,3.14,5.64,0.332,12,reviewed,ci,ci
